Year, Population ages 65 and above (% of total population),GNI per capita with Atlas method (current US$), GDP (current US$), Birth Rate>=8.9
1970,6.87537357909855,1830,212609187920.833,1
1971,7.04511237142291,2120,240151807459.955,1
1972,7.20198104714484,2720,318031297492.682,1
1973,7.35490682097462,3640,432082670451.087,1
1974,7.51847399408602,4430,479625998614.775,1
1975,7.70165314604646,5150,521541905671.903,1
1976,7.91989538349195,5410,586161859001.02,1
1977,8.1664147416804,5950,721411786537.187,1
1978,8.42795175745544,7450,1013612173519.79,1
1979,8.68098701574116,9450,1055012119528.16,1
1980,8.91424102510216,10860,1105385973763.87,1
1981,9.17070029512728,11120,1218988935129.81,1
1982,9.39703900957525,10550,1134518001884.56,1
1983,9.61265983831153,10270,1243323592058.83,1
1984,9.84547096770105,10520,1318381627003.76,1
1985,10.1107917149922,11480,1398892744820.69,1
1986,10.3982652980839,13850,2078953333673.55,1
1987,10.7142176360625,18180,2532808573157.03,1
1988,11.0632627982628,24910,3071683013178.91,1
1989,11.4472782683527,27000,3054914166263.18,1
1990,11.8684297946014,27810,3132817652848.04,1
1991,12.3078036194607,28590,3584420077100.84,1
1992,12.7779408522358,30590,3908809463463.86,1
1993,13.2714227962264,33430,4454143876947.21,1
1994,13.7796738072246,36980,4907039384469.68,1
1995,14.29721109603,42110,5449116304981.1,1
1996,14.8319802422054,43150,4833712542207.1,1
1997,15.3692625026343,40040,4414732843544.43,1
1998,15.9078698835283,34450,4032509760872.94,1
1999,16.4460137660732,33780,4562078822335.45,1
2000,16.9844456314612,36230,4887519660744.86,1
2001,17.5072522295706,36770,4303544259842.72,1
2002,18.0304816809554,34790,4115116279069.77,1
2003,18.5589326404993,35070,4445658071221.86,0
2004,19.0975310909288,38350,4815148854362.11,0
2005,19.6523519811041,40560,4755410630912.14,0
2006,20.1776836490648,39930,4530377224970.4,0
2007,20.6976124973624,38740,4515264514430.57,0
2008,21.2358974125183,38850,5037908465114.48,0
2009,21.8291087417716,38800,5231382674593.7,0
2010,22.4980711221305,43440,5700098114744.41,0
2011,23.158251897204,46880,6157459594823.72,0
2012,23.8779359281327,49480,6203213121334.12,0
2013,24.6255989058732,48280,5155717056270.83,0
2014,25.3497097679254,43950,4850413536037.84,0
2015,26.0193322610369,38840,4389475622588.97,0
2016,26.5918165131425,37860,4922538141454.62,0
2017,27.1094794248515,38490,4866864409657.68,0
2018,27.576369910355,41150,4954806619995.19,0
2019,28.0020492778115,41690,5081769542379.77,0
